Cobalt2	#132738	#ffffff	#000000,#ff0000,#38de21,#ffe50a,#1460d2,#ff005d,#00bbbb,#bbbbbb,#555555,#f40e17,#3bd01d,#edc809,#5555ff,#ff55ff,#6ae3fa,#ffffff
Coffee Theme	#f5deb3	#000000	#000000,#c91b00,#00c200,#c7c400,#0225c7,#ca30c7,#00c5c7,#c7c7c7,#686868,#ff6e67,#5ffa68,#fffc67,#6871ff,#ff77ff,#60fdff,#ffffff
Cool Night	#010c18	#ecdef4	#0b3b61,#ff3a3a,#52ffd0,#fff383,#1376f9,#c792ea,#ff5ed4,#16fda2,#63686d,#ff54b0,#74ffd8,#fcf5ae,#388eff,#ae81ff,#ff6ad7,#60fbbf
Crayon Pony Fish	#150707	#68525a	#2b1b1d,#91002b,#579524,#ab311b,#8c87b0,#692f50,#e8a866,#68525a,#3d2b2e,#c5255d,#8dff57,#c8381d,#cfc9ff,#fc6cba,#ffceaf,#b0949d
Cursor Dark	#141414	#d4d4d4	#242424,#fc6b83,#3fa266,#d2943e,#81a1c1,#b48ead,#88c0d0,#e4e4e4,#4a4a4a,#fc6b83,#70b489,#f1b467,#87a6c4,#b48ead,#88c0d0,#e4e4e4
Cursor Light	#f3f3f3	#252525	#252525,#cf2d56,#1f8a65,#a16900,#3c7cab,#b8448b,#4c7f8c,#afafaf,#5c5c5c,#e75e78,#55a583,#c08532,#6299c3,#d06ba6,#6f9ba6,#ffffff
Cutie Pro	#181818	#d5d0c9	#000000,#f56e7f,#bec975,#f58669,#42d9c5,#d286b7,#37cb8a,#d5c3c3,#88847f,#e5a1a3,#e8d6a7,#f1bb79,#80c5de,#b294bb,#9dccbb,#ffffff
Cyberdyne	#151144	#00ff92	#080808,#ff8373,#00c172,#d2a700,#0071cf,#ff90fe,#6bffdd,#f1f1f1,#2e2e2e,#ffc4be,#d6fcba,#fffed5,#c2e3ff,#ffb2fe,#e6e7fe,#ffffff
Cyberpunk	#332a57	#e5e5e5	#000000,#ff7092,#00fbac,#fffa6a,#00bfff,#df95ff,#86cbfe,#ffffff,#000000,#ff8aa4,#21f6bc,#fff787,#1bccfd,#e6aefe,#99d6fc,#ffffff
Cyberpunk Scarlet Protocol	#101116	#d13554	#101116,#ea3356,#64d98c,#faf968,#306fb1,#ba3ec1,#59c2c6,#c7c7c7,#686868,#ed776d,#8df77a,#fefc7f,#6a71f6,#ae40e4,#8efafd,#ffffff
cyberpunk-icy	#0a0a0f	#d4b3f7	#1a1a2e,#ff0055,#00ff9f,#fffc00,#7b2fff,#ff00ff,#00ffff,#d4b3f7,#2a2a4e,#ff3377,#33ffb2,#fffe33,#9955ff,#ff55ff,#55ffff,#ffffff
Dalton Dark	#1b1b1b	#c8c9cc	#282828,#d85050,#5b914e,#c4c40c,#7aa2f7,#a050d0,#56717f,#b8b8b8,#494949,#f07068,#88b97d,#eded02,#97b1f1,#c070f0,#6691a7,#d8d8d8
Dark Modern	#1f1f1f	#cccccc	#272727,#f74949,#2ea043,#9e6a03,#0078d4,#d01273,#1db4d6,#cccccc,#5d5d5d,#dc5452,#23d18b,#f5f543,#3b8eea,#d670d6,#29b8db,#e5e5e5
Dark Pastel	#000000	#ffffff	#000000,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#bbbbbb,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
